 ID	ligand	receptor	description(ligand)	description(receptor)	primary location(ligand)	alternate location(ligand)	primary location(receptor)	alternate location(receptor)	PubmedID	KEGG																									
2200	CCL22	CCR4	small inducible cytokine A22 precursor	chemokine (C-C motif) receptor 4	Extracellular	---	Plasma membrane	---	9430724///9933589///9743322	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2651	CCL23	CCR1	small inducible cytokine A23 isoform CKbeta8	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	9558365///10660125///9886417	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
72	CCL24	CCR3	small inducible cytokine A24 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	12218106	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3475	CCL25	CCR10	small inducible cytokine A25 precursor	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	10706668	04062_Chemokine signaling pathway_	 activation binding/association																								
2112	CCL25	CCR9	small inducible cytokine A25 precursor	chemokine (C-C motif) receptor 9 isoform B	Extracellular	---	Plasma membrane	---	10229797///10498628	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation	04672_Intestinal immune network for IgA production_	 binding/association																				
126	CCL26	CCR1	chemokine (C-C motif) ligand 26 precursor	chemokine (C-C motif) receptor 1	Extracellular	Plasma membrane	Plasma membrane	---	15039444	04062_Chemokine signaling pathway_	 activation binding/association																								
127	CCL26	CCR3	chemokine (C-C motif) ligand 26 precursor	CC chemokine receptor 3	Extracellular	Plasma membrane	Plasma membrane	Secretory granule	10488147	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3889	CCL27	CCR10	small inducible cytokine A27 precursor	CC chemokine receptor 10	Extracellular	Nucleus///Cytoplasm	Plasma membrane	---	10725697///11821900	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation	04672_Intestinal immune network for IgA production_	 binding/association																				
3170	CCL28	CCR10	chemokine (C-C motif) ligand 28 precursor	CC chemokine receptor 10	Extracellular	---	Plasma membrane	---	10781587///10975800	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation	04672_Intestinal immune network for IgA production_	 binding/association																				
1665	CCL28	CCR3	chemokine (C-C motif) ligand 28 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	10975800	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2042	CCL3	CCR1	chemokine (C-C motif) ligand 3	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	10660125///10202040///7545673	04062_Chemokine signaling pathway_	 activation binding/association																								
3882	CCL3	CCR3	chemokine (C-C motif) ligand 3	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	7594543	04062_Chemokine signaling pathway_	 activation binding/association																								
2040	CCL3	CCR4	chemokine (C-C motif) ligand 3	chemokine (C-C motif) receptor 4	Extracellular	---	Plasma membrane	---	8573157	04062_Chemokine signaling pathway_	 activation binding/association																								
3873	CCL3	CCR5	chemokine (C-C motif) ligand 3	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	11700073///10477718	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2603	CCL3L1	CCR1	chemokine (C-C motif) ligand 3-like 1 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	11449371	04062_Chemokine signaling pathway_	 activation binding/association																								
2605	CCL3L1	CCR3	chemokine (C-C motif) ligand 3-like 1 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	11449371	04062_Chemokine signaling pathway_	 activation binding/association																								
2048	CCL3L1	CCR5	chemokine (C-C motif) ligand 3-like 1 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	11734558///11449371	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
130	CCL3L3	CCR5	chemokine (C-C motif) ligand 3-like 3 precursor	chemokine (C-C motif) receptor 5	Extracellular	---	Plasma membrane	---	11734558///10364178	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2741	CCL4	CCR1	chemokine C-C motif ligand 4 isoform 1	chemokine (C-C motif) receptor 1	Extracellular	Endoplasmic reticulum///Golgi apparatus	Plasma membrane	---	7594543	04062_Chemokine signaling pathway_	 activation binding/association																								
1649	CCL4	CCR3	chemokine C-C motif ligand 4 isoform 1	CC chemokine receptor 3	Extracellular	Endoplasmic reticulum///Golgi apparatus	Plasma membrane	Secretory granule	7622448	04062_Chemokine signaling pathway_	 activation binding/association																								
3993	CCL4	CCR5	chemokine C-C motif ligand 4 isoform 1	chemokine (C-C motif) receptor 5	Extracellular	Endoplasmic reticulum///Golgi apparatus	Plasma membrane	---	12427015///8663314	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
2746	CCL4	CCR8	chemokine C-C motif ligand 4 isoform 1	chemokine (C-C motif) receptor 8	Extracellular	Endoplasmic reticulum///Golgi apparatus	Plasma membrane	---	9521068	04062_Chemokine signaling pathway_	 activation binding/association																								
971	CCL5	CCR1	small inducible cytokine A5 precursor	chemokine (C-C motif) receptor 1	Extracellular	---	Plasma membrane	---	9289016///11116158///14637022///12270118///7545673	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3426	CCL5	CCR3	small inducible cytokine A5 precursor	CC chemokine receptor 3	Extracellular	---	Plasma membrane	Secretory granule	9289016///8642344	04062_Chemokine signaling pathway_	 activation binding/association	04060_Cytokine-cytokine receptor interaction_	 activation																						
3427	CCL5	CCR4	small inducible cytokine A5 precursor	chemokine (C-C motif) receptor 4	Extracellular	---	Plasma membrane	---	12270118///8573157	04062_Chemokine signaling pathway_	 activation binding/association																								
